"","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol","entrez"
"ENSG00000138316.10",753.751658254346,-2.46489207815672,0.173527509954157,1.2245336554899e-47,4.05728817852319e-45,"ADAMTS14","140766"
"ENSG00000162616.8",1436.98897399896,1.30413349047662,0.0912181155353565,1.88108716538975e-47,6.11280979245308e-45,"DNAJB4","11080"
"ENSG00000133142.17",3001.6903707927,1.50781118797405,0.106695316393577,1.67606332574073e-46,5.34379586384282e-44,"TCEAL4","79921"
"ENSG00000163431.12",6767.81945249233,1.17272941629693,0.0840183651807479,1.76115119208018e-45,5.51109867477239e-43,"LMOD1","25802"
"ENSG00000148848.14",1356.84232298322,-1.83452777164044,0.131880137863149,1.97149875790611e-45,6.0571610929268e-43,"ADAM12","8038"
"ENSG00000197381.15",1889.58298465248,2.21499676062284,0.160118923175415,2.56563479594148e-45,7.74180299675341e-43,"ADARB1","104"
"ENSG00000145685.13",2006.83583337217,-1.15822417820439,0.083083390883776,3.22659404832199e-45,9.56543618044648e-43,"LHFPL2","10184"
"ENSG00000070404.9",1755.02872743104,1.61686599110468,0.116708412408083,6.61548778790581e-45,1.92738814896608e-42,"FSTL3","10272"
"ENSG00000151726.13",1458.30628488052,1.59338733428948,0.115800667469945,2.32085287644719e-44,6.64707998410247e-42,"ACSL1","2180"
"ENSG00000187193.8",195.144127925709,3.16082880271081,0.230871866165518,4.53373055778781e-44,1.27684964942497e-41,"MT1X","4501"
"ENSG00000103742.11",375.931420094366,-2.30316977183575,0.168735464367806,7.78867301521256e-44,2.15759010837806e-41,"IGDCC4","57722"
"ENSG00000167641.10",237.405952067649,3.0047137210001,0.220919785125805,8.9958413646191e-44,2.45180205450538e-41,"PPP1R14A","94274"
"ENSG00000134686.18",2881.18095889713,1.43709848851063,0.105350498536121,1.26042741895333e-43,3.38074643261483e-41,"PHC2","1912"
"ENSG00000172986.12",773.117999534425,-1.69622402627467,0.126701925999108,3.24089233564968e-42,8.55696854497005e-40,"GXYLT2","727936"
